rank,gateway_count,window_count,activation_count,mean_completion_ratio,fr,eta_cap,eta_0,hotspot_coverage,hotspot_max_gap,max_cross_gap,cross_active_fraction
1,23,12,24,1.0,1.0,0.005507081916460842,0.005483180045157733,0.822298162503589,420.0,639.9079999999994,0.9657022222222222
2,23,12,24,1.0,1.0,0.005558125050791879,0.005534001641758591,0.8198672695951766,420.0,639.9079999999994,0.9657022222222222
3,22,12,24,1.0,1.0,0.00557157321541919,0.005547391438577857,0.8001720930232559,420.0,639.9079999999994,0.9657022222222222
4,22,12,24,1.0,1.0,0.005575974905499624,0.005551774024415534,0.8125082400229686,420.0,639.9079999999994,0.9657022222222222
5,22,12,24,1.0,1.0,0.0056283091840772384,0.005603881161430651,0.8100773471145565,420.0,639.9079999999994,0.9657022222222222
