segment_index,start,end,duration,active_task_count,demand_req,cross_demand_req,required_cross_link_count,cross_link_count,cross_capacity,cross_supply,cross_rate_used,cross_data_used,eta_cap_shortfall,zero_cross_req,zero_cross_demand,eta0_indicator
202,13140.0,13260.0,120.0,5,193.76531215640105,193.76531215640105,1,1,800.0,800.0,800.0,96000.0,0.0,0,0,0
203,13260.0,13320.0,60.0,5,170.92784370683532,170.92784370683532,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
204,13320.0,13380.0,60.0,5,158.80999150000005,158.80999150000005,1,1,800.0,800.0,800.0000000000001,48000.0,0.0,0,0,0
205,13380.0,13440.0,60.0,5,143.0071467474708,143.0071467474708,1,1,800.0,800.0,800.0,48000.0,0.0,0,0,0
206,13440.0,13453.658,13.657999999999447,4,129.1614083096714,129.1614083096714,1,1,800.0,800.0,618.4024308097864,8446.14039999972,0.0,0,0,0
207,13453.658,13500.0,46.34200000000055,3,127.10284199107421,127.10284199107421,1,0,0.0,0.0,0,0.0,127.10284199107421,1,1,1
208,13500.0,13560.0,60.0,3,128.65193653445664,128.65193653445664,1,0,0.0,0.0,0,0.0,128.65193653445664,1,1,1
209,13560.0,13620.0,60.0,3,130.71886541728625,130.71886541728625,1,0,0.0,0.0,0,0.0,130.71886541728625,1,1,1
210,13620.0,13680.0,60.0,3,132.85863816048175,132.85863816048175,1,0,0.0,0.0,0,0.0,132.85863816048175,1,1,1
211,13680.0,13740.0,60.0,3,135.07557678325395,135.07557678325395,1,0,0.0,0.0,0,0.0,135.07557678325395,1,1,1
212,13740.0,13800.0,60.0,3,137.3743921917809,137.3743921917809,1,0,0.0,0.0,0,0.0,137.3743921917809,1,1,1
213,13800.0,13860.0,60.0,3,139.7602337415826,139.7602337415826,1,0,0.0,0.0,0,0.0,139.7602337415826,1,1,1
214,13860.0,13864.685,4.684999999999491,3,142.23874723711455,142.23874723711455,1,0,0.0,0.0,0,0.0,142.23874723711455,1,1,1
215,13864.685,13920.0,55.31500000000051,3,142.43635537159244,142.43635537159244,1,1,800.0,800.0,615.4000000000001,34040.851000000315,0.0,0,0,0
216,13920.0,14040.0,120.0,3,132.9282886963163,132.9282886963163,1,1,800.0,800.0,615.4000000000001,73848.0,0.0,0,0,0
217,14040.0,14100.0,60.0,3,110.74060863445379,110.74060863445379,1,1,800.0,800.0,521.0496600000001,31262.979600000006,0.0,0,0,0
218,14100.0,14160.0,60.0,2,102.24572874626867,102.24572874626867,1,1,800.0,800.0,460.6,27636.0,0.0,0,0,0
219,14160.0,14280.0,120.0,2,95.67293569264069,95.67293569264069,1,1,800.0,800.0,460.6,55272.0,0.0,0,0,0
220,14280.0,14340.0,60.0,2,81.76065142619682,81.76065142619682,1,1,800.0,800.0,460.6,27636.0,0.0,0,0,0
221,14340.0,14400.0,60.0,2,74.3901732988268,74.3901732988268,1,1,800.0,800.0,460.6,27636.0,0.0,0,0,0
222,14400.0,14520.0,120.0,2,66.72064693548388,66.72064693548388,1,1,800.0,800.0,441.7567,53010.804000000004,0.0,0,0,0
223,14520.0,14580.0,60.0,1,51.28339783333334,51.28339783333334,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
224,14580.0,14640.0,60.0,1,48.61701474576272,48.61701474576272,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
225,14640.0,14700.0,60.0,1,45.85868741379311,45.85868741379311,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
226,14700.0,14760.0,60.0,1,43.003576666666675,43.003576666666675,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
227,14760.0,14820.0,60.0,1,40.046497678571434,40.046497678571434,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
228,14820.0,14880.0,60.0,1,36.98188854545455,36.98188854545455,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
229,14880.0,14940.0,60.0,1,33.80377537037038,33.80377537037038,1,1,800.0,800.0,208.6,12516.0,0.0,0,0,0
