rank,gateway_count,window_count,activation_count,activation_time,mean_completion_ratio,full_success_rate,sr_theta_c,sr_near,eta_cap,eta_0,hotspot_coverage,hotspot_max_gap,max_cross_gap,cross_active_fraction
1,24,13,26,191893.52800000002,0.9824424050163585,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.06787823117151286,0.05348561330678692,0.8061151802619922,540.0,2083.216999999997,0.909578263888889
2,25,14,28,203274.87399999998,0.9879250777003983,0.98,0.98,0.98,0.060329050411594976,0.0598587286485818,0.8110764933236303,540.0,2464.957000000002,0.9097880787037037
3,26,15,30,215967.568,0.9940949598255747,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.04654876208933568,0.03354560505667139,0.8007716962262573,540.0,2464.957000000002,0.9097880787037037
4,25,15,30,203221.81399999998,0.9946496110272399,0.98,0.98,0.98,0.055407687694790944,0.05490533990631309,0.808609528958461,540.0,2464.957000000002,0.8753962268518518
5,26,16,32,199346.068,0.9950994017990695,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.04297919114456995,0.041402365476207625,0.8079242032730405,540.0,2464.957000000002,0.881443287037037
